[1524009600] LOG ROTATION: DAILY
[1524009600] LOG VERSION: 2.0
[1524009600] CURRENT HOST STATE: control1.gate.rtf;UP;HARD;1;OK - 192.168.4.2: rta 0.011ms, lost 0%
[1524009600] CURRENT HOST STATE: control2.gate.rtf;UP;HARD;1;OK - 192.168.4.10: rta 0.163ms, lost 0%
[1524009600] CURRENT HOST STATE: mgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.3: rta 0.431ms, lost 0%
[1524009600] CURRENT HOST STATE: mgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.22: rta 0.084ms, lost 0%
[1524009600] CURRENT HOST STATE: pgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.23: rta 0.142ms, lost 0%
[1524009600] CURRENT HOST STATE: pgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.25: rta 0.119ms, lost 0%
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Antenna_Door_Open_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Az_Run_Line_Active;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brake_Bypass_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brakes_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Fans_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Stowed_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Temperature_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_COHO_Gate_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Circulator_Temperature_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_El_Run_Line_Active;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brake_Bypass_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brakes_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Fans_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Limit_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Stowed_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Temperature_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Mitch_Switch_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Oil_Pressure_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Pedestal_Switch_Disabled_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_RF_Disabled_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_RF_Ladder_Lockout_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Pressure_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Switch_Fault;OK;HARD;1;OK - 0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;CPU load;OK;HARD;1;OK - 15 min load 0.11 at 16 Cores (0.01 per Core)
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;CPU utilization;OK;HARD;1;OK - user: 1.1%, system: 0.4%, wait: 0.0%, steal: 0.0%, guest: 0.0%, total: 1.5%
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Check_MK;OK;HARD;1;OK - Agent version 1.2.8p26, execution time 0.6 sec
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Check_MK Discovery;OK;HARD;1;OK - no unmonitored services found, no vanished services found
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Disk IO SUMMARY;OK;HARD;1;OK - Utilization: 0.0%, Read: 68.27 B/s, Write: 72.86 kB/s, Average Wait: 0.09 ms, Average Read Wait: 9.50 ms, Average Write Wait: 0.07 ms, Latency: 0.03 ms
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /;OK;HARD;1;OK - 46.7% used (18.23 of 39.04 GB), trend: +289.54 MB / 24 hours
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /data;OK;HARD;1;OK - 25.6% used (400.98 GB of 1.53 TB), trend: +8.89 MB / 24 hours
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /home;OK;HARD;1;OK - 63.9% used (30.16 of 47.17 GB), trend: -249.00 kB / 24 hours
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_DataMapper_primary;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_DsFileDist_ext_data;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_DsServerMgr_primary;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_Fmq2Fmq_monitoring;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_InputWatcher_spol_cams;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_Janitor_logs;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_Janitor_sysview;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_LdataWatcher_sysview;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_Scout_primary;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HP_SpolMonCtrl_ops;OK;HARD;1;OK - OK
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HawkSummary_Data;OK;HARD;1;OK - 0 data set(s) have problems
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;HawkSummary_Processes;OK;HARD;1;OK - Services ok/prob: 10/0
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Interface 2;OK;HARD;1;OK - [em1] (up) MAC: 78:2b:cb:0d:ae:c0, 1 Gbit/s, in: 179.33 kB/s(0.1%), out: 210.54 kB/s(0.2%)
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Interface 3;OK;HARD;1;OK - [em2] (up) MAC: 78:2b:cb:0d:ae:c1, 1 Gbit/s, in: 83.92 B/s(0.0%), out: 83.78 B/s(0.0%)
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Kernel Context Switches;OK;HARD;1;OK - 1906/s
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Kernel Major Page Faults;OK;HARD;1;OK - 0/s
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Kernel Process Creations;OK;HARD;1;OK - 9/s
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Logins;OK;HARD;1;OK - 4 logins on system (warn/crit at 20/30)
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Memory;OK;HARD;1;OK - RAM used: 1.71 GB of 11.56 GB, Swap used: 0.00 B of 3.91 GB, Total virtual memory used: 1.71 GB of 15.47 GB (11.1%),
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Mount options of /;OK;HARD;1;OK - mount options exactly as expected
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Mount options of /data;OK;HARD;1;OK - mount options exactly as expected
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Mount options of /home;OK;HARD;1;OK - mount options exactly as expected
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;NTP Time;OK;HARD;1;OK - stratum 2, offset 0.0000 ms, reference: C0A804F8 (192.168.4.248)
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;Number of threads;OK;HARD;1;OK - 493 threads
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;OMD prod apache;OK;HARD;1;OK - 0.23 Requests/s, 0.05 Seconds serving/s, 24.91 kB Sent/s
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;OMD prod performance;OK;HARD;1;OK - Host Checks: 0.1/s, Service Checks: 5.8/s, Process Creations: 0.2/s, Livestatus Connects: 0.2/s, Livestatus Requests: 0.7/s, Log Messages: 0.0/s, 6 Hosts, 356 Services, Core version: 3.5.0, Livestatus version: 1.2.8p15
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;OMD prod status;OK;HARD;1;OK - running
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_AC_Power;OK;HARD;1;OK - Source 2
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_Frequency;OK;HARD;1;OK - 600
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_Source_Switched;OK;HARD;1;OK - ---
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_TotalKW;OK;HARD;1;OK - 6548
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_VoltageA;OK;HARD;1;OK - 122
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_VoltageB;OK;HARD;1;OK - 124
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_VoltageC;OK;HARD;1;OK - 123
[1524009600] CURRENT SERVICE STATE: control1.gate.rtf;PM_XmitPowerDbmH;CRITICAL;HARD;1;CRIT - CRITICAL - 68.21
